GEO_ID,NAME,ESTIMATED_HOUSEHOLD_MEDIAN_INCOME
42001,"Adams County, Pennsylvania",68411
42003,"Allegheny County, Pennsylvania",62320
42005,"Armstrong County, Pennsylvania",53545
42007,"Beaver County, Pennsylvania",59014
42009,"Bedford County, Pennsylvania",51531
42011,"Berks County, Pennsylvania",66154
42013,"Blair County, Pennsylvania",50856
42015,"Bradford County, Pennsylvania",52375
42017,"Bucks County, Pennsylvania",93181
42019,"Butler County, Pennsylvania",72642
42021,"Cambria County, Pennsylvania",47644
42023,"Cameron County, Pennsylvania",40342
42025,"Carbon County, Pennsylvania",57601
42027,"Centre County, Pennsylvania",61921
42029,"Chester County, Pennsylvania",104161
42031,"Clarion County, Pennsylvania",49695
42033,"Clearfield County, Pennsylvania",50150
42035,"Clinton County, Pennsylvania",51145
42037,"Columbia County, Pennsylvania",52219
42039,"Crawford County, Pennsylvania",51919
42041,"Cumberland County, Pennsylvania",71979
42043,"Dauphin County, Pennsylvania",63123
42045,"Delaware County, Pennsylvania",76238
42047,"Elk County, Pennsylvania",54961
42049,"Erie County, Pennsylvania",52863
42051,"Fayette County, Pennsylvania",49075
42053,"Forest County, Pennsylvania",41225
42055,"Franklin County, Pennsylvania",63420
42057,"Fulton County, Pennsylvania",55424
42059,"Greene County, Pennsylvania",55993
42061,"Huntingdon County, Pennsylvania",53597
42063,"Indiana County, Pennsylvania",49270
42065,"Jefferson County, Pennsylvania",49604
42067,"Juniata County, Pennsylvania",53502
42069,"Lackawanna County, Pennsylvania",54064
42071,"Lancaster County, Pennsylvania",69588
42073,"Lawrence County, Pennsylvania",50080
42075,"Lebanon County, Pennsylvania",61632
42077,"Lehigh County, Pennsylvania",66214
42079,"Luzerne County, Pennsylvania",53194
42081,"Lycoming County, Pennsylvania",54906
42083,"McKean County, Pennsylvania",49240
42085,"Mercer County, Pennsylvania",50529
42087,"Mifflin County, Pennsylvania",52641
42089,"Monroe County, Pennsylvania",68734
42091,"Montgomery County, Pennsylvania",93518
42093,"Montour County, Pennsylvania",59915
42095,"Northampton County, Pennsylvania",73088
42097,"Northumberland County, Pennsylvania",49273
42099,"Perry County, Pennsylvania",70660
42101,"Philadelphia County, Pennsylvania",49127
42103,"Pike County, Pennsylvania",67495
42105,"Potter County, Pennsylvania",47696
42107,"Schuylkill County, Pennsylvania",53703
42109,"Snyder County, Pennsylvania",60227
42111,"Somerset County, Pennsylvania",51255
42113,"Sullivan County, Pennsylvania",49830
42115,"Susquehanna County, Pennsylvania",55788
42117,"Tioga County, Pennsylvania",51838
42119,"Union County, Pennsylvania",56824
42121,"Venango County, Pennsylvania",51405
42123,"Warren County, Pennsylvania",52034
42125,"Washington County, Pennsylvania",65478
42127,"Wayne County, Pennsylvania",55572
42129,"Westmoreland County, Pennsylvania",61398
42131,"Wyoming County, Pennsylvania",60075
42133,"York County, Pennsylvania",68940
