submission_date,state,tot_cases,tot_death
1/14/22,KS,621273,7162
2/12/21,UT,359641,1785
2/4/20,AR,0,0
5/30/22,AK,251425,1252
5/17/20,RMI,0,0
4/14/20,WA,10345,546
9/4/21,PR,173967,2911
6/2/20,IA,20015,561
8/12/20,AS,0,0
5/1/21,SD,122688,1967
6/5/20,HI,661,17
5/22/21,MA,704796,17818
3/17/22,GU,46695,341
12/25/21,MS,525502,10393
10/26/21,HI,80876,883
8/1/21,GA,1187107,21690
2/25/22,SD,235787,2802
7/26/21,OK,475578,7488
5/20/22,NY,2890549,27790
3/31/20,FL,6546,180
4/3/22,OK,1034439,14010
9/23/21,NYC,1075197,34153
6/26/20,NYC,216745,22892
6/25/20,FL,120746,3526
9/13/22,TN,2321312,27547
3/4/20,PR,0,0
7/20/20,GA,147804,3176
4/9/22,SD,237246,2893
6/6/22,NYC,2522039,40485
3/19/22,PA,2774453,44011
3/14/22,AS,555,0
5/1/20,NYC,176544,18750
3/19/20,GA,493,13
6/14/22,GU,50364,370
5/11/21,TN,848588,12292
8/30/22,AS,8168,34
3/23/20,NY,8570,31
9/29/21,WA,655146,7654
1/31/21,AL,458637,9602
11/27/20,PA,351989,10234
12/12/20,IA,255240,3212
3/10/21,FL,1924043,32926
10/31/20,OH,215697,5301
8/1/21,AS,0,0
6/17/21,HI,35862,504
3/31/21,ND,103299,1466
7/2/21,TN,865536,12571
1/6/21,TN,614869,7267
1/25/22,SD,221372,2609
2/28/22,WV,490111,6317
5/3/21,GA,1103659,20227
9/8/21,KS,382850,5693
6/13/20,TX,86011,2287
9/10/22,SD,258510,3002
6/12/20,NM,9526,414
1/14/21,WV,105219,1702
1/5/21,SD,101076,1513
6/19/21,RMI,4,0
6/24/22,MP,11569,34
2/10/21,MP,133,2
3/7/21,UT,374850,1976
3/12/20,OK,174,0
2/28/22,MP,9724,30
9/26/21,CO,668368,7472
2/18/22,OH,2642330,35493
8/5/20,IA,46659,899
2/6/22,KS,744493,7716
2/11/21,TN,743502,10731
1/28/22,FL,5521546,67865
3/18/21,AS,4,0
8/5/21,NY,1179682,20000
7/16/20,WA,44081,1427
2/23/20,OH,0,0
8/7/21,UT,439151,2497
7/20/20,AL,68982,1862
5/17/22,IN,1716327,23640
10/21/20,NM,38715,897
8/14/20,NM,23160,669
5/19/21,PA,1196094,26925
1/29/22,PA,2649247,40548
4/1/20,AS,0,0
5/19/20,AL,12799,681
1/19/21,WA,291270,3940
7/17/20,OH,72280,3112
1/8/22,ND,181576,2029
6/28/21,NYC,955439,33416
5/21/21,PR,138842,2460
